Epoch [20/100] Step [80]  lossD: 0.6195  lossG: 2.9311  L1: 0.0406  Adv: 0.9006
Epoch [20/100] Step [100]  lossD: 0.6383  lossG: 3.1052  L1: 0.0368  Adv: 1.2644
Epoch [20/100] Step [120]  lossD: 0.6505  lossG: 2.8050  L1: 0.0400  Adv: 0.8038
Epoch [20/100] Step [140]  lossD: 0.6865  lossG: 2.6823  L1: 0.0349  Adv: 0.9384
Epoch [20/100] Step [160]  lossD: 0.6385  lossG: 2.6287  L1: 0.0341  Adv: 0.9256
Epoch [20/100] Step [180]  lossD: 0.6065  lossG: 2.8838  L1: 0.0404  Adv: 0.8620
Epoch [21/100] Step [0]  lossD: 0.6252  lossG: 2.7106  L1: 0.0375  Adv: 0.8343
Epoch [21/100] Step [20]  lossD: 0.7417  lossG: 2.2991  L1: 0.0333  Adv: 0.6320
Epoch [21/100] Step [40]  lossD: 0.6886  lossG: 2.7374  L1: 0.0366  Adv: 0.9088
Epoch [21/100] Step [60]  lossD: 0.5906  lossG: 3.2817  L1: 0.0451  Adv: 1.0282
Epoch [21/100] Step [80]  lossD: 0.7202  lossG: 2.3081  L1: 0.0324  Adv: 0.6898
Epoch [21/100] Step [100]  lossD: 0.6722  lossG: 2.8242  L1: 0.0400  Adv: 0.8261
Epoch [21/100] Step [120]  lossD: 0.8356  lossG: 2.6609  L1: 0.0390  Adv: 0.7125
Epoch [21/100] Step [140]  lossD: 0.6814  lossG: 2.8491  L1: 0.0425  Adv: 0.7257
Epoch [21/100] Step [160]  lossD: 0.6339  lossG: 2.6271  L1: 0.0343  Adv: 0.9126
Epoch [21/100] Step [180]  lossD: 0.6709  lossG: 2.9765  L1: 0.0424  Adv: 0.8565
Epoch [22/100] Step [0]  lossD: 0.6687  lossG: 2.9148  L1: 0.0416  Adv: 0.8372
Epoch [22/100] Step [20]  lossD: 0.5522  lossG: 2.8465  L1: 0.0384  Adv: 0.9264
Epoch [22/100] Step [40]  lossD: 0.6339  lossG: 2.8548  L1: 0.0382  Adv: 0.9429
Epoch [22/100] Step [60]  lossD: 0.5935  lossG: 2.8121  L1: 0.0395  Adv: 0.8378
Epoch [22/100] Step [80]  lossD: 0.6734  lossG: 3.0163  L1: 0.0421  Adv: 0.9114
Epoch [22/100] Step [100]  lossD: 0.6326  lossG: 2.7599  L1: 0.0375  Adv: 0.8864
Epoch [22/100] Step [120]  lossD: 0.6356  lossG: 2.9590  L1: 0.0410  Adv: 0.9082
Epoch [22/100] Step [140]  lossD: 0.6988  lossG: 2.4604  L1: 0.0319  Adv: 0.8663
Epoch [22/100] Step [160]  lossD: 0.5813  lossG: 3.1273  L1: 0.0444  Adv: 0.9089
Epoch [22/100] Step [180]  lossD: 0.6817  lossG: 2.6762  L1: 0.0385  Adv: 0.7534
Epoch [23/100] Step [0]  lossD: 0.6549  lossG: 2.3636  L1: 0.0327  Adv: 0.7302
Epoch [23/100] Step [20]  lossD: 0.6246  lossG: 2.8678  L1: 0.0401  Adv: 0.8625
Epoch [23/100] Step [40]  lossD: 0.6709  lossG: 2.6377  L1: 0.0390  Adv: 0.6882
Epoch [23/100] Step [60]  lossD: 0.6624  lossG: 2.2784  L1: 0.0317  Adv: 0.6948
